id,titleEn,titleTe,author,album,category,ragam,language,posted,url,teluguChars,englishChars
38,halleluaya ani paduuchu,హల్లెలుయా అని పాడుచు క్రుపామయా నీకు స్తోత్రము,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/38,463,0
39,kristhu nedu lechenu,క్రీస్తు నేడు లేచెను ఆ ఆ ఆ హల్లెలూయ,,,Easter,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/39,548,0
40,Prema kaligi sathyamu palukuchu,ప్రేమ కలిగి సత్యము పలుకుచు,Pastor N J Simon,Asha Theera,Alter Call,,Telugu,2021-03-30,https://waytochurch.com/lyrics/song/40,412,517
41,ghanamainavi nee kaaryamulu naa yedala,ఘనమైనవి నీ కార్యములు నా యెడల,,,Thanks Giving,,TELUGU,2021-03-30,https://waytochurch.com/lyrics/song/41,819,1041
42,gesthemane thota,గెత్సేమనే తోటలో ప్రార్ధింప నేర్పితివా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/42,348,0
43,chirakaala snehithudaa,చిరకాల స్నేహితుడా నా హృదయాన సన్నిహితుడా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/43,569,0
44,jayamu kristhu jaya jaya livigo,జయము క్రీస్తూ జయ జయ లివిగో,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/44,480,0
45,jayahe jayahe,జయహే జయహే జయహే జయహే జయ జయ దేవ సుథ,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/45,828,0
46,jeeva nadhini,జీవనదిని నా హృదయములో ప్రవహింప చేయుమయా,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/46,224,0
47,dhevuni vaarasulam,దేవుని వారసులం ప్రేమ నివాసులము,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/47,488,0
48,divam prema swaroopam,దైవం ప్రేమ స్వరూపం ప్రేమకు భాష్యం శ్రీయేసుడే – అవనిలో,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/48,578,0
49,nannethagano preminchinaavu,నన్నెంతగానో ప్రేమించెను నన్నెంతగానో కరుణించెను,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/49,650,0
50,naa pere theliyani,నా పేరే తెలియని ప్రజలు ఎందరో ఉన్నారు,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/50,440,0
51,naa yesu raju,నా యేసు రాజుతో నేను సాగి పోదును,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/51,979,0
52,nine preminthunu,నిన్నే ప్రేమింతును నిన్నే ప్రేమింతును యేసు,,popular,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/52,683,0
53,nithyudyna dhevuni thodu o,నిత్యుడైన దేవుని తోడు నీడ నీపై ఉడును,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/53,361,0
54,neeti yuta yodha,నీటి యూట యొద్ద నాట బడితిమి వేరుతన్ని ఎదిగి ఫలియింతుము,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/54,413,0
55,neeti vaagula koraku,నీటి వాగుల కొరకు దుప్పి ఆశించునట్లు,,,,,Telugu,2014-10-16,https://waytochurch.com/lyrics/song/55,528,0
